relative_path;has_direct_registrar_alteracao;instantiated_repositories;repos_mutating_without_log;repos_unknown_class
app/adms/Controllers/groupsPages/DeleteGroupPage.php;0;GroupsPagesRepository;;
app/adms/Controllers/groupsPages/ListGroupsPages.php;0;GroupsPagesRepository|MenuPermissionUserRepository;;
app/adms/Controllers/groupsPages/UpdateGroupPage.php;0;GroupsPagesRepository;;
app/adms/Controllers/groupsPages/ViewGroupPage.php;0;GroupsPagesRepository;;
app/adms/Controllers/informativos/AcknowledgeInformativo.php;0;InformativosRepository;InformativosRepository;
app/adms/Controllers/informativos/CreateInformativo.php;0;InformativosRepository|DepartmentsRepository;InformativosRepository;
app/adms/Controllers/informativos/DeleteInformativo.php;0;InformativosRepository;InformativosRepository;
app/adms/Controllers/informativos/ExportRelatorioInformativoExcel.php;0;InformativosRepository|ButtonPermissionUserRepository|UsersRepository;InformativosRepository;
app/adms/Controllers/informativos/ExportRelatorioInformativoPdf.php;0;InformativosRepository|ButtonPermissionUserRepository|UsersRepository;InformativosRepository;
app/adms/Controllers/informativos/ListInformativos.php;0;InformativosRepository|ButtonPermissionUserRepository|DepartmentsRepository;InformativosRepository;
app/adms/Controllers/informativos/ReadInformativo.php;0;InformativosRepository;InformativosRepository;
app/adms/Controllers/informativos/RelatorioInformativo.php;0;InformativosRepository|ButtonPermissionUserRepository|UsersRepository;InformativosRepository;
app/adms/Controllers/informativos/RemoveInformativoAnexo.php;0;InformativosRepository|ButtonPermissionUserRepository;InformativosRepository;
app/adms/Controllers/informativos/RemoveInformativoImagem.php;0;InformativosRepository|ButtonPermissionUserRepository;InformativosRepository;
app/adms/Controllers/informativos/UpdateInformativo.php;0;InformativosRepository|DepartmentsRepository;InformativosRepository;
app/adms/Controllers/informativos/ViewInformativo.php;0;InformativosRepository;InformativosRepository;
app/adms/Controllers/inventory/CreateInventoryAdjust.php;0;InvStocksRepository|InvItemsRepository|InvMovementsRepository;InvStocksRepository|InvItemsRepository|InvMovementsRepository;
app/adms/Controllers/inventory/CreateInventoryCategory.php;0;InvCategoriesRepository;InvCategoriesRepository;
app/adms/Controllers/inventory/CreateInventoryEntry.php;0;InvStocksRepository|InvItemsRepository|InvMovementsRepository;InvStocksRepository|InvItemsRepository|InvMovementsRepository;
app/adms/Controllers/inventory/CreateInventoryExit.php;0;InvStocksRepository|InvItemsRepository|InvMovementsRepository;InvStocksRepository|InvItemsRepository|InvMovementsRepository;
app/adms/Controllers/inventory/CreateInventoryItem.php;0;InvUnitsRepository|InvCategoriesRepository|InvItemsRepository;InvUnitsRepository|InvCategoriesRepository|InvItemsRepository;
app/adms/Controllers/inventory/CreateInventoryOperation.php;0;InvOperationsRepository;InvOperationsRepository;
app/adms/Controllers/inventory/CreateInventoryPosition.php;0;InvStocksRepository|InvPositionsRepository;InvStocksRepository|InvPositionsRepository;
app/adms/Controllers/inventory/CreateInventoryStock.php;0;InvStocksRepository;InvStocksRepository;
app/adms/Controllers/inventory/CreateInventoryTransfer.php;0;InvStocksRepository|InvItemsRepository|InvMovementsRepository;InvStocksRepository|InvItemsRepository|InvMovementsRepository;
app/adms/Controllers/inventory/CreateInventoryUnit.php;0;InvUnitsRepository;InvUnitsRepository;
app/adms/Controllers/inventory/DeleteInventoryCategory.php;0;InvCategoriesRepository;InvCategoriesRepository;
app/adms/Controllers/inventory/DeleteInventoryItem.php;0;InvItemsRepository;InvItemsRepository;
app/adms/Controllers/inventory/DeleteInventoryOperation.php;0;InvOperationsRepository;InvOperationsRepository;
app/adms/Controllers/inventory/DeleteInventoryPosition.php;0;InvPositionsRepository;InvPositionsRepository;
app/adms/Controllers/inventory/DeleteInventoryStock.php;0;InvStocksRepository;InvStocksRepository;
app/adms/Controllers/inventory/DeleteInventoryUnit.php;0;InvUnitsRepository;InvUnitsRepository;
app/adms/Controllers/inventory/ExportInventoryBalanceCsv.php;0;InvBalancesRepository;InvBalancesRepository;
app/adms/Controllers/inventory/ExportInventoryHistoryCsv.php;0;InvMovementsRepository;InvMovementsRepository;
app/adms/Controllers/inventory/InventoryAjaxPositions.php;0;InvPositionsRepository|InvBalancesRepository;InvPositionsRepository|InvBalancesRepository;
app/adms/Controllers/inventory/ListInventoryCategories.php;0;InvCategoriesRepository;InvCategoriesRepository;
app/adms/Controllers/inventory/ListInventoryItems.php;0;InvItemsRepository;InvItemsRepository;
app/adms/Controllers/inventory/ListInventoryOperations.php;0;InvOperationsRepository;InvOperationsRepository;
app/adms/Controllers/inventory/ListInventoryPositions.php;0;InvPositionsRepository|InvStocksRepository;InvPositionsRepository|InvStocksRepository;
app/adms/Controllers/inventory/ListInventoryStocks.php;0;InvStocksRepository;InvStocksRepository;
app/adms/Controllers/inventory/ListInventoryUnits.php;0;InvUnitsRepository;InvUnitsRepository;
app/adms/Controllers/inventory/ReportInventoryBalance.php;0;InvBalancesRepository|InvItemsRepository|InvStocksRepository|InvPositionsRepository;InvBalancesRepository|InvItemsRepository|InvStocksRepository|InvPositionsRepository;
app/adms/Controllers/inventory/ReportInventoryHistory.php;0;InvMovementsRepository|InvItemsRepository|InvStocksRepository;InvMovementsRepository|InvItemsRepository|InvStocksRepository;
app/adms/Controllers/inventory/UpdateInventoryCategory.php;0;InvCategoriesRepository;InvCategoriesRepository;
app/adms/Controllers/inventory/UpdateInventoryItem.php;0;InvItemsRepository|InvUnitsRepository|InvCategoriesRepository|InvOperationsRepository|InvItemBomRepository|InvItemOperationsRepository;InvItemsRepository|InvUnitsRepository|InvCategoriesRepository|InvOperationsRepository|InvItemBomRepository|InvItemOperationsRepository;
app/adms/Controllers/inventory/UpdateInventoryOperation.php;0;InvOperationsRepository;InvOperationsRepository;
app/adms/Controllers/inventory/UpdateInventoryPosition.php;0;InvPositionsRepository|InvStocksRepository;InvPositionsRepository|InvStocksRepository;
app/adms/Controllers/inventory/UpdateInventoryStock.php;0;InvStocksRepository;InvStocksRepository;
app/adms/Controllers/inventory/UpdateInventoryUnit.php;0;InvUnitsRepository;InvUnitsRepository;
app/adms/Controllers/inventory/ViewInventoryItem.php;0;InvItemsRepository|InvBalancesRepository|InvMovementsRepository;InvItemsRepository|InvBalancesRepository|InvMovementsRepository;
app/adms/Controllers/lgpd/LgpdAipd.php;0;LgpdAipdRepository|DepartmentsRepository|LgpdRopaRepository|LgpdDataGroupsRepository|UsersRepository;;
app/adms/Controllers/lgpd/LgpdAipdCreate.php;0;LgpdAipdRepository|DepartmentsRepository|LgpdRopaRepository|LgpdDataGroupsRepository|UsersRepository;;
app/adms/Controllers/lgpd/LgpdAipdDelete.php;0;LgpdAipdRepository;;
app/adms/Controllers/lgpd/LgpdAipdEdit.php;0;LgpdAipdRepository|DepartmentsRepository|LgpdRopaRepository|LgpdDataGroupsRepository|UsersRepository;;
app/adms/Controllers/lgpd/LgpdAipdQuestionnaire.php;0;LgpdRopaRepository|LgpdDataGroupsRepository;;
app/adms/Controllers/lgpd/LgpdAipdSuggest.php;0;LgpdRopaRepository;;
app/adms/Controllers/lgpd/LgpdAipdTemplateEcommerce.php;0;LgpdAipdRepository|DepartmentsRepository|LgpdRopaRepository|UsersRepository;;
app/adms/Controllers/lgpd/LgpdAipdTemplateEducacao.php;0;LgpdAipdRepository|DepartmentsRepository|LgpdRopaRepository|UsersRepository;;
