erp_code;description;is_pa;inv_item_id;batches;mp_lines;mae_lines;hh_per_batch;hm_per_batch;power_kw_route;production_line;energy_class;complexity;driver_6;share_criterion_6_pct;pendencias;edit_url
43000085;"PROHN FIBRAS STICK X 15 OR";SIM;2954;9;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/2954
43000086;"PROHN FIBRAS STICK X 30 OR";SIM;2989;21;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/2989
43000121;"PROIDRAT PROBIOTICO STICK GRANEL";SIM;3185;2;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3185
43000104;"PROLIVE FEMME CT BL AL PLAST X 10";SIM;3443;4;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3443
43000103;"PROLIVE FEMME CT BL AL PLAST X 2 AG";SIM;3426;4;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3426
43000105;"PROLIVE FEMME CT BL AL PLAST X 30";SIM;3454;11;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3454
43000050;"PROLIVE GG CT BL AL PLAST X 1 AG";SIM;4073;2;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/4073
43000051;"PROLIVE GG CT BL AL PLAST X 5 OR";SIM;1440;2;3;4;0.0508;0.0272;0;;;media;140.0000;1.7916;sem_linha|sem_classe_energia;http://localhost/administrativo/update-inventory-item/1440
41000084;"PROPOLIS VERDE 75MG FR X 60 CAPSULAS SOFTGEL";SIM;4031;2;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/4031
43000026;"PROTENA 620MG CAP MOLE CT BL AL PLAS X 30";SIM;;4;0;0;0;0;0;;;;0.0000;0.0000;sem_cadastro|driver_6_zero;
43000025;"PROTENA 620MG CAP MOLE CT BL AL PLAS X 60";SIM;;12;0;0;0;0;0;;;;0.0000;0.0000;sem_cadastro|driver_6_zero;
43000135;"PROTENA HIALU UCII CAP DURA CT BL X 30";SIM;3780;2;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3780
43000133;"PROTENA HIALU UCII CAP DURA CT BL X 4";SIM;3779;2;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3779
43000142;"PROTENA HIALU UCII CAP DURA CT BL X 60";SIM;3785;2;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3785
43000149;"PROTENA OMEGA UCII CAP MOLE CT BL AL PLAS X 30";SIM;3794;1;0;4;0.0108;0;0;;;media;40.0000;0.5119;sem_linha|sem_classe_energia;http://localhost/administrativo/update-inventory-item/3794
43000049;"PROTENA PLUS D CAP DURA BL X 30";SIM;;2;0;0;0;0;0;;;;0.0000;0.0000;sem_cadastro|driver_6_zero;
43000047;"PROTENA PLUS D CAP DURA BL X 4";SIM;;4;0;0;0;0;0;;;;0.0000;0.0000;sem_cadastro|driver_6_zero;
43000048;"PROTENA PLUS D CAP DURA BL X 60";SIM;;10;0;0;0;0;0;;;;0.0000;0.0000;sem_cadastro|driver_6_zero;
43000063;"PROTENA PRO CAPSULAS CT BL AL/PLAST X 2 AG";SIM;;3;0;0;0;0;0;;;;0.0000;0.0000;sem_cadastro|driver_6_zero;
43000061;"PROTENA PRO CAPSULAS CT BL AL/PLAST X 30";SIM;;2;0;0;0;0;0;;;;0.0000;0.0000;sem_cadastro|driver_6_zero;
43000062;"PROTENA PRO CAPSULAS CT BL AL/PLAST X 60";SIM;;5;0;0;0;0;0;;;;0.0000;0.0000;sem_cadastro|driver_6_zero;
43000137;"PROTENA PROBIO UCII CAPSULAS CT BL X 2";SIM;3781;1;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3781
43000138;"PROTENA PROBIO UCII CAPSULAS CT BL X 30";SIM;3782;1;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3782
43000139;"PROTENA PROBIO UCII CAPSULAS CT BL X 60";SIM;3783;1;5;4;0.8008;0.7500;0;;;media;90.0000;1.1518;sem_linha|sem_classe_energia;http://localhost/administrativo/update-inventory-item/3783
43000131;"PROTENA TENDFLEX CT SACHE LAM X 2";SIM;3333;2;6;3;0.0276;0.0264;0;;;media;180.0000;2.3035;sem_linha|sem_classe_energia;http://localhost/administrativo/update-inventory-item/3333
